Feature ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence
5e19ddf81be82806da1a1601875f9795	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus		0.9384458737
5ebb5c797da972dda226f95b40d5b934	Bacteria	Firmicutes	Clostridia	Clostridiales				0.9505508503
6011623532dbf43c1f3e1c9a0da57418	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.8587198577
6028241ec2c53e13c65d4f34acf8252a	Bacteria							0.9964321546
6080c38f3a6d846ec7cf86c8f942d38a	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae			0.7081443542
6093b83c7e9b29eb85fa78cc6014466b	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7			0.999970961
6151dfdae0ed34dbd2b914958da974dd	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		0.999928646
615685b7f03118021a8c7e6777882ea5	Bacteria	Firmicutes	Clostridia	Clostridiales				0.9987279071
61602441fe4b6f2b36be40c311fa9cb3	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.9187493308
61f36b02d16bd60a33617b1eaf571c89	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira		0.9999952774
62c2500c7c10f9b15af76d633cd7ae2a	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella		0.9937533486
6301e994e8d9b26ea37c3db191d5b325	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus		0.9994920254
63298803ce9c9b6930afabe42a3c98c2	Bacteria	Firmicutes	Clostridia	Clostridiales				0.9999993732
63a37b4505b068922f8d546e258e379c	Bacteria	Firmicutes	Clostridia	Clostridiales				0.9999999743
6425a1b20590da5d96746217ea3fe698	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira		0.9999805802
64f6aa54a3b8c87bd57a73461f6b0cc7	Bacteria	Firmicutes	Clostridia	Clostridiales				0.9040072956
655235da2763f5e61fcd9c28c68b3e92	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.7998058497
656326d89791c753746563843909ebf2	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Adlercreutzia		0.9999958657
65e11acf3bc9b4cbaaee58794e2f2ec9	Bacteria	Firmicutes	Clostridia	Clostridiales				0.8406749773
6631962028deadb13ab2ab64b17297ff	Bacteria	Firmicutes	Clostridia	Clostridiales				0.924017787
66680207458c0b586aa60a24cf49bc97	Bacteria	Cyanobacteria	4C0d-2	YS2				0.9999999816
6689cc067754fa14964e70c77ae9ce0a	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.8325699682
669c92c4b1a054e277dbb27375cba06d	Bacteria	Firmicutes	Clostridia	Clostridiales				0.9771903232
66f5ca5e99e5106d4604200bccf4d7b9	Bacteria	Firmicutes	Clostridia	Clostridiales				0.9989748939
6797f125d0f2b270677f6cc8b3d2d018	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Candidatus Arthromitus		1
67db2b5dd7b661c6101b3241790688a5	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae			0.9969182983
68231471ec9079e54e760da96273437e	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.9791430785
6827ea7a084ac684eb16adb10ea88600	Bacteria							0.9966839448
684e36f4a4ca5d922ae44c53c5fbf386	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus		0.9999547999
6937c17f6728525d01cb5eb740248860	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Allobaculum		0.9937773401
